GT_ID,File,Lines,Function_Scope,Vulnerability_Type,CWE_ID,OWASP_Top10_2021,Severity,Python_SAST_Detectable,Description,Code_Reference
GT-011,introduction/views.py,550-567,a9_lab,Insecure Deserialization (YAML),CWE-502 / CWE-20,A08:2021-Software and Data Integrity Failures,Critical,Yes,"Uploaded file content is loaded with `yaml.Loader` (the unsafe, full-featured loader) instead of `yaml.SafeLoader`, enabling arbitrary object construction.","data = yaml.load(file, yaml.Loader)"
GT-012,introduction/views.py,573-605,a9_lab2,Code Injection (PIL ImageMath.eval),CWE-95,A03:2021-Injection,High,No (uncommon sink; not covered by default Bandit/SonarQube rulesets),"User-supplied `function` string is evaluated by PIL's `ImageMath.eval`, which parses and executes an attacker-controlled Python-like expression.","output = ImageMath.eval(function_str, img=img, b=b, r=r, g=g)"
GT-013,introduction/views.py,746-780,a1_broken_access_lab_1,Broken Access Control (client-trusted cookie),CWE-807 / CWE-284,A01:2021-Broken Access Control,High,No (business-logic flaw),"Same client-cookie-trust pattern as GT-008, reimplemented for the 2021 OWASP Top-10 lab track.","if request.COOKIES.get('admin') == ""1"": ..."
GT-014,introduction/views.py,782-820,a1_broken_access_lab_2,Broken Access Control (client-trusted header),CWE-807 / CWE-284,A01:2021-Broken Access Control,High,No (business-logic flaw),"Admin status is granted solely because the client-supplied `User-Agent` header equals a fixed string, which any client can set at will.","if (user_agent == ""pygoat_admin""): ..."
GT-015,introduction/views.py,822-841,a1_broken_access_lab_3 / a1_broken_access_lab3_secret,Missing Authorization,CWE-862,A01:2021-Broken Access Control,Medium,No (logic flaw; comment literally states 'no checking applied here'),The secret page is reachable by any authenticated user regardless of role; no per-user/per-role authorization check is performed.,"# no checking applied here \n return render(request, ...secret.html)"
GT-016,introduction/views.py,854-904,injection_sql_lab,SQL Injection,CWE-89,A03:2021-Injection,Critical,Yes,Second SQL-injection lab (OWASP 2021 A3 track): `name`/`password` concatenated into a raw SQL string passed to `.raw()`.,"sql_query = ""SELECT * FROM introduction_sql_lab_table WHERE id='""+name+""'AND password='""+password+""'"""
GT-017,introduction/views.py,918-931,ssrf_lab,Path Traversal / Local File Inclusion,CWE-22,A01:2021-Broken Access Control,High,Yes,"POST value `blog` is joined onto a base directory with `os.path.join` and opened without validating that the result stays inside the intended directory, allowing `../../` traversal to read arbitrary files.","filename = os.path.join(dirname, file); file = open(filename, ""r"")"
GT-018,introduction/views.py,955-966,ssrf_lab2,Server-Side Request Forgery,CWE-918,A10:2021-Server-Side Request Forgery,Critical,Yes,"Fully attacker-controlled `url` POST parameter is passed straight into `requests.get()` with no allow-listing, enabling requests to internal/metadata endpoints.","url = request.POST[""url""]; response = requests.get(url)"
GT-019,introduction/views.py / introduction/utility.py,975-998 (views.py) / 55-56 (utility.py),ssti_lab / filter_blog,Server-Side Template Injection,CWE-1336 / CWE-94,A03:2021-Injection,Critical,Yes,"User-submitted `blog` content passes through `filter_blog()`, which is a pure no-op passthrough, and is then written verbatim into a `.html` file that Django subsequently renders as a template, allowing arbitrary template-tag/SSTI payloads.",blog = filter_blog(blog)  # utility.py: def filter_blog(code): return code
GT-020,introduction/views.py,1018-1030,crypto_failure_lab,Use of Broken/Weak Cryptographic Hash (MD5),CWE-327 / CWE-916,A02:2021-Cryptographic Failures,Medium,Yes,"Password is hashed with MD5, a cryptographically broken and fast algorithm unsuitable for password storage/verification.",password = md5(password.encode()).hexdigest()
GT-021,introduction/views.py / introduction/utility.py,1034-1046 (views.py) / 58-59 (utility.py),crypto_failure_lab2 / customHash,Use of a Broken/Custom Cryptographic Function,CWE-327,A02:2021-Cryptographic Failures,Medium,Partial (custom function; not a named weak-algorithm call Bandit recognizes),"A home-grown 'hash' function reverses the hex digest of SHA-256, providing no real cryptographic guarantees and trivially reversible with knowledge of the scheme.",def customHash(password): return hashlib.sha256(password.encode()).hexdigest()[::-1]
GT-022,introduction/views.py,1049-1084,crypto_failure_lab3,Forgeable Authentication Token (no integrity protection),CWE-347 / CWE-290,A02:2021-Cryptographic Failures,High,No (business-logic flaw),"Session cookie is built as a plain, unsigned `username|expiry` string; any client can forge `admin|<future-date>` to impersonate the admin without any cryptographic signature or MAC.","cookie = f""{username}|{expire}""; response.set_cookie(""cookie"", cookie)"
GT-023,introduction/views.py,1090-1110,sec_misconfig_lab3,Hardcoded Secret Used for Token Signing,CWE-798,A05:2021-Security Misconfiguration,High,"Yes (secret literal defined in pygoat/settings.py, see GT-044)","JWTs used for an admin-check cookie are signed/verified with `SECRET_COOKIE_KEY`, a hardcoded constant imported from settings.py, rather than a securely-generated/managed secret.","payload = jwt.decode(cookie, SECRET_COOKIE_KEY, algorithms=['HS256'])"
GT-024,introduction/views.py,535-540,secret,Security Decision Based on Untrusted Client Header,CWE-807,A05:2021-Security Misconfiguration,Medium,No (business-logic flaw),"Access to a 'secret' value is granted purely by checking a client-supplied `X-Host` request header, which any client can set arbitrarily.","XHost = request.headers.get('X-Host', 'None'); if XHost == 'admin.localhost:8000': ..."
GT-025,introduction/views.py,636-642,debug + logging.basicConfig,Exposure of Sensitive Log File via HTTP Endpoint,CWE-532 / CWE-215,A09:2021-Security Logging and Monitoring Failures,Medium,No (requires cross-referencing the route table; not a single-line pattern),"Application log file (`app.log`, configured at DEBUG level) is served verbatim as a plain-text HTTP response with no access control.","logging.basicConfig(level=logging.DEBUG, filename='app.log'); response = render(request,'Lab/A10/debug.log')"
GT-026,introduction/views.py,489-518,Otp,Weak/Predictable OTP & OTP Disclosure,CWE-330 / CWE-640,A07:2021-Identification and Authentication Failures,Medium,Partial (`random` module usage is Bandit-detectable; disclosure is a logic issue),"OTP is a 3-digit value drawn from Python's non-cryptographic `random.randint`, and for the non-admin branch the OTP value is returned directly in the HTTP response instead of only being delivered out-of-band.","otpN=randint(100,999); render(...,{""otp"":otpN})"
GT-027,introduction/views.py,1162-1206,auth_failure_lab3 / USER_A7_LAB3,Hardcoded Credentials + CSRF-Exempt Auth Endpoint,CWE-798 / CWE-352,A07:2021-Identification and Authentication Failures,Medium,Yes (hardcoded dict is a static pattern); CSRF part is Partial,"A dictionary of hardcoded (pre-hashed) usernames/passwords is baked into source, and the login POST handler is explicitly exempted from Django's CSRF protection via `@csrf_exempt`.","USER_A7_LAB3 = {""User1"": {... ""password"": ""491a2800...""}, ...} ; @csrf_exempt def auth_failure_lab3(request): ..."
GT-028,introduction/views.py,"679-680,701-726",gentckt / insec_desgine_lab,Use of Insufficiently Random Values,CWE-330,A08:2021-Software and Data Integrity Failures,Low,Yes,"Ticket/ID codes are generated with Python's standard `random.choices`, which is not cryptographically secure and is predictable given enough samples.","''.join(random.choices(string.ascii_uppercase + string.ascii_lowercase, k=10))"
GT-029,introduction/mitre.py,155-163,csrf_lab_login,Use of Broken/Weak Cryptographic Hash (MD5),CWE-327 / CWE-916,A02:2021-Cryptographic Failures,Medium,Yes,Password is hashed with MD5 before being compared against stored values for authentication.,password = md5(password.encode()).hexdigest()
GT-030,introduction/mitre.py,"169,182,194",csrf_lab_login / csrf_transfer_monei / csrf_transfer_monei_api,Hardcoded Cryptographic Secret,CWE-798 / CWE-321,A02:2021-Cryptographic Failures,High,Yes,"The literal string 'csrf_vulneribility' is used directly as the JWT signing/verification key across three functions, hardcoded in source.","jwt.encode(payload, 'csrf_vulneribility', algorithm='HS256')"
GT-031,introduction/mitre.py,191-210,csrf_transfer_monei_api,"Cross-Site Request Forgery (state change via GET, no CSRF token)",CWE-352,A01:2021-Broken Access Control,High,Partial (view-level; requires knowing it performs a state change on GET),"Funds transfer between accounts is executed as a side effect of a GET request with no CSRF token validation, allowing an attacker to trigger transfers via a simple crafted link/image tag on another site.","def csrf_transfer_monei_api(request, recipent, amount): if request.method == ""GET"": ... recipent.balance += amount"
GT-032,introduction/mitre.py,215-219,mitre_lab_25_api,Code Injection (eval),CWE-95,A03:2021-Injection,Critical,Yes,User-supplied POST `expression` is evaluated directly with Python's `eval()`.,result = eval(expression)
GT-033,introduction/mitre.py,232-246,mitre_lab_17_api / command_out,OS Command Injection,CWE-78,A03:2021-Injection,Critical,Yes,User-supplied `ip` is concatenated directly into an `nmap` shell command executed with `shell=True`.,"command = ""nmap "" + ip; subprocess.Popen(command, shell=True, ...)"
GT-034,introduction/utility.py,9-38,ssrf_code_converter,Arbitrary File Write (writes into an importable module),CWE-73,A08:2021-Software and Data Integrity Failures,Critical,Yes,"User-submitted Python source (from the SSRF coding-playground feature) is transformed and written to `playground/ssrf/main.py`, a file that the application later imports and executes — see GT-035.","filename = os.path.join(dirname, ""playground/ssrf/main.py""); f = open(filename,""w""); f.write(output_Code)"
GT-035,introduction/apis.py,22-54,ssrf_code_checker,Remote Code Execution (arbitrary file write + import/execute),CWE-94,A08:2021-Software and Data Integrity Failures,Critical,Yes,"Endpoint accepts raw `python_code` from an unauthenticated-adjacent, CSRF-exempt POST, writes it to disk via ssrf_code_converter (GT-034), then immediately imports and calls the resulting module (`main.ssrf_lab`), executing attacker-supplied code server-side.",python_code = request.POST['python_code']; ssrf_code_converter(python_code); outputs.append(main.ssrf_lab(inputs))
GT-036,introduction/apis.py,59-90,log_function_checker,"Remote Code Execution (arbitrary file write, missing auth)",CWE-94 / CWE-306,A08:2021-Software and Data Integrity Failures,Critical,Yes,"Unauthenticated (the `@authentication_decorator` is commented out), CSRF-exempt endpoint writes raw user-POSTed `log_code`/`api_code` directly into `playground/A9/main.py` and `api.py`, then triggers HTTP requests that execute the newly written code.","f = open(log_filename,""w""); f.write(log_code) ... f = open(api_filename,""w""); f.write(api_code)"
GT-037,introduction/apis.py,112-138,A6_disscussion_api_2,Remote Code Execution (arbitrary file write),CWE-94,A08:2021-Software and Data Integrity Failures,Critical,Yes,"CSRF-exempt endpoint writes raw user-POSTed `code` directly to `playground/A6/utility.py`, a module subsequently imported and invoked (`check_vuln`) elsewhere in the application.","filename = os.path.join(dirname, ""playground/A6/utility.py""); f = open(filename,""w""); f.write(code)"
GT-038,introduction/playground/ssrf/main.py,4-9,ssrf_lab,Path Traversal / Local File Inclusion,CWE-22,A01:2021-Broken Access Control,High,Yes,Same unsanitized `os.path.join` + `open()` pattern as GT-017; this is the underlying 'target' module invoked by both the live SSRF lab and the coding-playground test harness (GT-035).,"filename = os.path.join(dirname, file); file = open(filename, ""r"")"
GT-039,introduction/playground/A9/api.py; introduction/playground/A9/archive.py,approx. line 15 in each,log_function_target / Log.info,Insertion of Sensitive Information into Log File,CWE-532,A09:2021-Security Logging and Monitoring Failures,Medium,Partial (no default Bandit rule; SonarQube may flag via sensitive-data rules),"Plaintext password submitted on a POST login attempt is written directly into the application log via an f-string, persisting credentials in plaintext log storage.","L.info(f""POST request with username {username} and password {password}"")"
GT-040,introduction/lab_code/test.py,9-10,"module scope (scratch/dead code, not wired to any URL)",Insecure Deserialization (YAML),CWE-502,A08:2021-Software and Data Integrity Failures,Low (unreachable via HTTP; left-over example code),Yes,`yaml.load()` is called with no `Loader` argument; on the pinned PyYAML version this defaults to the unsafe full loader rather than `SafeLoader`.,"stream = open('/home/fox/test.yaml', 'r'); data = yaml.load(stream)"
GT-041,pygoat/settings.py,25,module scope,Hardcoded Django SECRET_KEY,CWE-798,A02:2021-Cryptographic Failures,High,Yes,"Django's cryptographic `SECRET_KEY` (used for session signing, CSRF tokens, password-reset tokens) is a hardcoded literal committed to source control.",SECRET_KEY = 'lr66%-a!$km5ed@n5ug!tya5bv!0(yqwa1tn!q%0%3m2nh%oml'
GT-042,pygoat/settings.py,30,module scope,Debug Mode Enabled,CWE-215 / CWE-489,A05:2021-Security Misconfiguration,Medium,Yes (SonarQube python:S4507-style rule; not a default Bandit check),"`DEBUG = True` is set in the project's primary settings file alongside a public `ALLOWED_HOSTS` entry, risking verbose stack-trace/information disclosure if deployed as-is.",DEBUG = True
GT-043,pygoat/settings.py,27,module scope,Hardcoded Sensitive Constant,CWE-798,A02:2021-Cryptographic Failures,Informational,Yes,A hardcoded 'flag' constant is defined at module scope (intended as a discoverable CTF artifact for the mitre_top1 lab); flagged for completeness as a hardcoded-secret pattern.,SENSITIVE_DATA = 'FLAGTHATNEEDSTOBEFOUND'
GT-044,pygoat/settings.py,171,module scope,Hardcoded Cryptographic Secret,CWE-798,A02:2021-Cryptographic Failures,High,Yes,"Cookie/JWT-signing key used by GT-023 is a hardcoded, low-entropy literal.","SECRET_COOKIE_KEY = ""PYGOAT"""
GT-045,dockerized_labs/broken_auth_lab/app.py,8,module scope,Hardcoded Flask Secret Key,CWE-798,A02:2021-Cryptographic Failures,High,Yes,Flask's `secret_key` (used for session/flash-message signing) is a hardcoded placeholder string.,app.secret_key = 'your-secret-key-here'
GT-046,dockerized_labs/broken_auth_lab/app.py,"11-20,36",users dict / login(),Plaintext Password Storage & Comparison,CWE-256 / CWE-312,A02:2021-Cryptographic Failures,High,"No (in-memory dict/logic pattern, not a named crypto-API misuse)",User passwords are stored as plaintext in an in-memory dict and compared with `==` rather than a hashed/salted comparison.,if username in users and users[username]['password'] == password:
GT-047,dockerized_labs/broken_auth_lab/app.py,39-45,login(),"Insecure Session Token (unsigned, guessable)",CWE-384 / CWE-330,A07:2021-Identification and Authentication Failures,Medium,No (business-logic flaw),"Session token is just base64(`username:timestamp`) with no signature/MAC, so any client can forge a session for any username.","session_token = base64.b64encode(f""{username}:{datetime.now()}"".encode()).decode()"
GT-048,dockerized_labs/broken_auth_lab/app.py,72,reset_password(),"Predictable Password-Reset Token (MD5, guessable inputs)",CWE-330 / CWE-327,A07:2021-Identification and Authentication Failures,Medium,Yes,"Password-reset tokens are MD5 hashes of `email + current timestamp`, both largely knowable/guessable by an attacker targeting a known account.","token = hashlib.md5(f""{email}:{datetime.now()}"".encode()).hexdigest()"
GT-049,dockerized_labs/broken_auth_lab/app.py,76,reset_password(),Sensitive Token Exposed in Response,CWE-200,A01:2021-Broken Access Control,Medium,No (business-logic flaw),"The password-reset link/token is returned directly in the HTTP response (`flash`) instead of being delivered exclusively via a verified out-of-band channel (e.g., email).",flash(f'Password reset link: /reset/{token}')
GT-050,dockerized_labs/broken_auth_lab/app.py,last line,__main__,Debug Mode Enabled,CWE-215,A05:2021-Security Misconfiguration,Medium,Yes (Bandit B201 flask_debug_true),"Flask app is run with `debug=True`, which enables the interactive debugger/reloader and verbose error pages.","app.run(host='0.0.0.0', port=5000, debug=True)"
GT-051,dockerized_labs/insec_des_lab/main.py,approx. line 29-31,deserialize_data(),Insecure Deserialization,CWE-502,A08:2021-Software and Data Integrity Failures,Critical,Yes,"Base64-decoded, fully client-controlled data is passed to `pickle.loads()`; a companion `User.__reduce__` override in the same file demonstrates how this can be exploited for privilege escalation.",decoded_data = base64.b64decode(serialized_data); user = pickle.loads(decoded_data)
GT-052,dockerized_labs/sensitive_data_exposure/dataexposure/views.py,approx. 118-131,all_users_data_view,Missing Authentication/Authorization exposing PII,CWE-284 / CWE-306,A01:2021-Broken Access Control,Critical,"No (missing-decorator / logic flaw, not a syntactic pattern)","Endpoint returns every user's credit card number, SSN, and API key as JSON with zero authentication or authorization checks (no `@login_required`, no staff check).","for user_data in UserData.objects.all(): all_users_data.append({'credit_card': ..., 'ssn': ...})"
GT-053,dockerized_labs/sensitive_data_exposure/dataexposure/views.py,approx. 99-116,api_data_view,Sensitive Data Over-Exposure in API Response,CWE-200 / CWE-359,A01:2021-Broken Access Control,High,No (business-logic flaw),"Even for the authenticated owner, the endpoint returns the full, unmasked credit-card number and SSN rather than a masked/partial representation.","data = {'credit_card': user_data.credit_card, 'ssn': user_data.ssn, 'api_key': user_data.api_key}"
GT-054,dockerized_labs/sensitive_data_exposure/dataexposure/views.py,approx. 30-33,generate_api_key(),Use of Insufficiently Random Values,CWE-330,A02:2021-Cryptographic Failures,Medium,Yes (Bandit B311 random usage),API keys are generated with the non-cryptographic `random.choices` instead of the `secrets` module.,"''.join(random.choices(chars, k=16))"
GT-055,dockerized_labs/sensitive_data_exposure/dataexposure/models.py,4-6,UserData model,Cleartext Storage of Sensitive Information,CWE-312,A02:2021-Cryptographic Failures,High,No (schema-level; not a code-flow pattern),"Credit card number and SSN are stored as plain, unencrypted `CharField`s in the database with no field-level encryption or tokenization.",credit_card = models.CharField(max_length=16); ssn = models.CharField(max_length=9)
GT-056,dockerized_labs/sensitive_data_exposure/sensitive_data_lab/settings.py,8,module scope,Hardcoded Django SECRET_KEY,CWE-798,A02:2021-Cryptographic Failures,High,Yes,"Same pattern as GT-041, in the standalone Flask/Django lab project.",SECRET_KEY = 'django-insecure-key-for-demonstration-only'
GT-057,dockerized_labs/sensitive_data_exposure/sensitive_data_lab/settings.py,11,module scope,Debug Mode Enabled,CWE-215,A05:2021-Security Misconfiguration,Medium,Yes (SonarQube-style rule),`DEBUG = True` combined with a wildcard `ALLOWED_HOSTS` (GT-058).,DEBUG = True
GT-058,dockerized_labs/sensitive_data_exposure/sensitive_data_lab/settings.py,13,module scope,Overly Permissive Host Configuration,CWE-16 / CWE-284,A05:2021-Security Misconfiguration,Medium,Yes (SonarQube-style rule; not a default Bandit check),"`ALLOWED_HOSTS = ['*']` disables Django's Host-header validation entirely, exposing the app to Host-header injection/cache-poisoning style issues.",ALLOWED_HOSTS = ['*']
GT-059,challenge/models.py,approx. 26,Challenge.save(),Use of Weak Hash Without Salt for a Security-Relevant Secret,CWE-916,A02:2021-Cryptographic Failures,Low,"Yes (Bandit B324 flags weak hash usage, though SHA-256 itself is not 'weak' — the concern here is the unsalted, unkeyed usage pattern for a verification secret)","Challenge 'flag' values are hashed with a single unsalted SHA-256 pass before storage, which is adequate for a CTF flag but is flagged here for completeness given the file's role as a verification-secret store.","self.flag = ""hashed_"" + hashlib.sha256(self.flag.encode('utf-8')).hexdigest()"
